NO,Epic,Feature,Process (%),Type,Issue No.,List issue,Issue description,Depends on,Assignee,Related,Status,EST ( days ),Actual time(days),Start date,End date,PR
1,Module: Core,Config,0%,Task,IS-01,Setup Repository & GitFlow,"Khởi tạo Git, tạo nhánh main/dev, cấu hình .gitignore",,Dev1,,Todo,0.25,,,,
2,Module: Core,Config,0%,Task,IS-02,Cấu hình Docker Compose,"Viết file docker-compose.yml cho PHP 8.5, PostgreSQL, Apache, mapping ports",IS-01,Dev1,,Todo,0.5,,,,
3,Module: Core,Config,0%,Task,IS-03,Cấu hình Server & Môi trường,"Cấu hình VirtualHost, enable mod_rewrite, tạo class EnvParser load .env",IS-02,Dev1,,Todo,0.5,,,,
4,Module: Core,Database,0%,Task,IS-04,Thiết kế CSDL (Schema),"Viết schema.sql chuẩn hóa cho bảng Users, Categories, Products, Orders, Order_Items, Coupons, Reviews",IS-03,Dev1,,Todo,0.5,,,,
5,Module: Core,Database,0%,Task,IS-05,Data Seeders (Dữ liệu mẫu),"Viết script PHP nạp sẵn 5 danh mục, 20 sản phẩm hoa, 1 Admin, 10 Users để test",IS-04,Dev1,,Todo,0.5,,,,
6,Module: Core,Architecture,0%,Task,IS-06,Base Router,"Xây dựng class Router điều hướng URL tự động tới Controller/Action tương ứng",IS-03,Dev2,,Todo,0.5,,,,
7,Module: Core,Architecture,0%,Task,IS-07,Base Controller & View,"Tạo Controller cha cung cấp hàm render, merge master layout (header/footer) với nội dung View",IS-06,Dev2,,Todo,0.5,,,,
8,Module: Core,Architecture,0%,Task,IS-08,Base Model & DB Connection,"Tạo class Database wrapper dùng PDO, BaseRepository chứa các hàm CRUD chung (find, insert, update)",IS-04,Dev2,,Todo,1,,,,
9,Module: Auth & Users,Frontend,0%,Task,IS-09,UI Trang Đăng Nhập,"Dựng HTML/CSS form đăng nhập, validation client-side cơ bản",IS-07,Dev1,,Todo,0.5,,,,
10,Module: Auth & Users,Frontend,0%,Task,IS-10,UI Trang Đăng Ký,"Dựng form đăng ký, validation check mật khẩu mạnh, khớp mật khẩu",IS-09,Dev1,,Todo,0.5,,,,
11,Module: Auth & Users,Backend,0%,Task,IS-11,Logic Xử lý Đăng Ký,"Validate email tồn tại ở DB, hash password bằng bcrypt, insert thông tin user",IS-10,Dev1,,Todo,0.5,,,,
12,Module: Auth & Users,Backend,0%,Task,IS-12,Logic Xử lý Đăng Nhập,"Verify mật khẩu, lưu ID và Role vào Session, redirect theo Role (Admin/User)",IS-09,Dev1,,Todo,0.5,,,,
13,Module: Auth & Users,Backend,0%,Task,IS-13,Middleware Phân Quyền,"Viết hàm check Auth, block user chưa đăng nhập khỏi trang Checkout/Profile, block user khỏi trang Admin",IS-12,Dev1,,Todo,0.5,,,,
14,Module: Auth & Users,Admin,0%,Task,IS-14,UI Quản lý Khách Hàng (Admin),"Bảng danh sách users trang quản trị, thanh tìm kiếm theo tên/email",IS-07,Dev1,,Todo,0.5,,,,
15,Module: Auth & Users,Admin,0%,Task,IS-15,Logic Quản lý Khách Hàng,"Query danh sách user, phân trang, API đổi status tài khoản (Khóa/Mở)",IS-14,Dev1,,Todo,0.5,,,,
16,Module: Catalog & Products,Admin,0%,Task,IS-16,UI Quản lý Danh mục (Admin),"Giao diện bảng danh sách chủ đề hoa, modal Thêm/Sửa/Xóa",IS-07,Dev2,,Todo,0.5,,,,
17,Module: Catalog & Products,Admin,0%,Task,IS-17,Logic CRUD Danh mục,"Xử lý insert, update, soft delete danh mục vào bảng categories",IS-16,Dev2,,Todo,0.5,,,,
18,Module: Catalog & Products,Admin,0%,Task,IS-18,UI Quản lý Sản phẩm (Admin),"Bảng danh sách hoa, tích hợp phân trang, bộ lọc theo danh mục",IS-17,Dev2,,Todo,0.5,,,,
19,Module: Catalog & Products,Admin,0%,Task,IS-19,UI Form Thêm/Sửa Sản Phẩm,"Form nhập liệu tên, giá gốc, giá KM, số lượng, mô tả rich-text",IS-18,Dev2,,Todo,0.5,,,,
20,Module: Catalog & Products,Admin,0%,Task,IS-20,Khung Upload Hình Ảnh SP,"Xử lý UI chọn ảnh, preview ảnh chụp sản phẩm trước khi upload",IS-19,Dev2,,Todo,0.5,,,,
21,Module: Catalog & Products,Admin,0%,Task,IS-21,Logic Thêm/Sửa Sản Phẩm,"Validate dữ liệu form, move_uploaded_file lưu ảnh, insert/update vào DB",IS-20,Dev2,,Todo,1,,,,
22,Module: Catalog & Products,Client,0%,Task,IS-22,UI Trang Chủ - Layout,"Dựng layout master, header menu động, footer, hiệu ứng glassmorphism",IS-07,Dev2,,Todo,1,,,,
23,Module: Catalog & Products,Client,0%,Task,IS-23,UI Trang Chủ - Banner & Khối tính năng,"Dựng slider banner chính, thiết kế khối tính năng 'Giao hỏa tốc 1-2h', 'Chụp ảnh trước'",IS-22,Dev2,,Todo,0.5,,,,
24,Module: Catalog & Products,Client,0%,Task,IS-24,UI Trang Chủ - Danh mục & SP,"Hiển thị lưới sản phẩm nổi bật, nhãn giảm giá, hover effect phóng to",IS-23,Dev2,,Todo,0.5,,,,
25,Module: Catalog & Products,Client,0%,Task,IS-25,Logic Trang Chủ,"Query DB lấy danh sách danh mục, top 8 sản phẩm bán chạy hoặc mới nhất đổ ra View",IS-24,Dev2,,Todo,0.5,,,,
26,Module: Catalog & Products,Client,0%,Task,IS-26,UI Trang Danh mục (Catalog),"Layout lưới sản phẩm, thiết kế sidebar lọc theo mức giá và đánh giá",IS-22,Dev2,,Todo,0.5,,,,
27,Module: Catalog & Products,Client,0%,Task,IS-27,Logic Lọc Sản Phẩm,"Query DB điều kiện WHERE linh động theo category_id, price range, sắp xếp",IS-26,Dev2,,Todo,1,,,,
28,Module: Catalog & Products,Client,0%,Task,IS-28,UI Trang Chi Tiết SP,"Giao diện hiển thị gallery ảnh thumbnail, giá tiền, rating, mô tả chi tiết",IS-22,Dev2,,Todo,0.5,,,,
29,Module: Catalog & Products,Client,0%,Task,IS-29,UI Form Đặt Hoa Đặc thù,"Thiết kế khu vực nhập 'Nội dung in thiệp/banner' và bộ đếm số lượng tùy chỉnh",IS-28,Dev2,,Todo,0.5,,,,
30,Module: Catalog & Products,Client,0%,Task,IS-30,Logic Trang Chi Tiết SP,"Query chi tiết SP theo slug/id, lấy ảnh phụ, danh sách SP liên quan đổ ra UI",IS-29,Dev2,,Todo,0.5,,,,
31,Module: Order & Cart,Client,0%,Task,IS-31,Logic Thêm vào Giỏ hàng,"Xử lý thêm product_id, quantity, nội dung thiệp vào session $_SESSION['cart']",IS-30,Dev3,,Todo,0.5,,,,
32,Module: Order & Cart,Client,0%,Task,IS-32,UI Trang Giỏ Hàng,"Dựng bảng danh sách SP trong giỏ, hình ảnh, giá từng món, tổng tiền, nút Xóa",IS-07,Dev3,,Todo,0.5,,,,
33,Module: Order & Cart,Client,0%,Task,IS-33,Logic Giỏ Hàng - JS/AJAX,"Tích hợp jQuery tăng/giảm SL, update tổng tiền dòng và tổng hóa đơn realtime không reload",IS-32,Dev3,,Todo,0.5,,,,
